Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh),Period,Day,Month,Year,Season_Autumn,Season_Monsoon,Season_Post-Monsoon,Season_Summer,Season_Winter,Period_Lockdown,Period_Post-lockdown,Period_Pre-lockdown,Lag1_TotalEnergy,Lag2_TotalEnergy,Lag3_TotalEnergy
2018-02-10,25.5,80.5,2,19.3,4.0,3130000,3761.002396,741.6089014,988.8118685,494.4059343,247.2029671,700.3082171,280.1232869,280.1232869,140.0616434,2,2,10,2018,0,0,1,0,0,0,0,1,3439.8046839999997,3599.5637420000003,3019.038227
2018-02-11,24.6,57.2,2,16.3,0.0,3130000,4026.880041,726.6640548,968.8854063,484.4427032,242.2213516,857.0005982,342.8002393,342.8002393,171.4001196,2,2,11,2018,0,0,1,0,0,0,0,1,3761.002396,3439.8046839999997,3599.5637420000003
2018-02-12,19.9,61.4,4,18.0,0.0,3130000,3700.558438,691.9661529,922.6215372,461.3107686,230.6553843,848.0587868,339.2235147,339.2235147,169.6117574,2,2,12,2018,0,0,0,0,1,0,0,1,4026.880041,3761.002396,3439.8046839999997
2018-03-01,19.5,66.6,4,18.8,0.0,3130000,3177.096061,598.9237993,798.5650657,399.2825329,199.6412664,766.5599643,306.6239857,306.6239857,153.3119929,2,3,1,2018,0,0,0,0,1,0,0,1,3700.558438,4026.880041,3761.002396
2018-03-02,21.6,51.7,4,21.2,0.0,3130000,3214.1639,687.4535522,916.6047363,458.3023681,229.1511841,635.1108124,254.044325,254.044325,127.0221625,2,3,2,2018,0,0,0,0,1,0,0,1,3177.096061,3700.558438,4026.880041
2018-03-03,26.1,53.5,3,18.8,0.0,3130000,4498.7941,628.0517517,837.4023356,418.7011678,209.3505839,818.4904663,327.3961865,327.3961865,163.6980933,2,3,3,2018,0,0,0,1,0,0,0,1,3214.1638999999996,3177.096061,3700.558438
2018-03-04,27.8,48.7,3,25.4,0.0,3130000,4510.501529,637.2888961,849.7185281,424.8592641,212.429632,803.2690885,321.3076354,321.3076354,160.6538177,2,3,4,2018,0,0,0,1,0,0,0,1,4498.7941,3214.1638999999996,3177.096061
2018-03-05,28.8,51.9,3,26.9,0.0,3130000,4389.356311,637.4721042,849.9628056,424.9814028,212.4907014,748.4755901,299.3902361,299.3902361,149.695118,2,3,5,2018,0,0,0,1,0,0,0,1,4510.501529,4498.7941,3214.1638999999996
2018-03-06,26.6,77.8,1,13.6,2.4,3130000,3284.019559,738.6907951,984.9210601,492.4605301,246.230265,676.8811713,270.7524685,270.7524685,135.3762343,2,3,6,2018,0,1,0,0,0,0,0,1,4389.35631,4510.501529,4498.7941
2018-03-07,23.7,88.8,1,5.6,0.2,3130000,3497.538792,729.56475,972.753,486.3765,243.18825,811.2614245,324.5045698,324.5045698,162.2522849,2,3,7,2018,0,1,0,0,0,0,0,1,3284.019558,4389.35631,4510.501529
2018-03-08,24.1,86.0,1,12.8,0.1,3130000,3324.839348,665.4065226,887.2086968,443.6043484,221.8021742,813.317983,325.3271932,325.3271932,162.6635966,2,3,8,2018,0,1,0,0,0,0,0,1,3497.5387920000003,3284.019558,4389.35631
2018-03-09,23.1,87.9,1,14.7,3.1,3130000,3443.558587,689.4280634,919.2374179,459.6187089,229.8093545,837.0003626,334.8001451,334.8001451,167.4000725,2,3,9,2018,0,1,0,0,0,0,0,1,3324.839348,3497.5387920000003,3284.019558
2018-03-10,26.4,78.0,2,19.0,1.4,3130000,4185.832057,750.5988519,1000.798469,500.3992346,250.1996173,903.8737947,361.5495179,361.5495179,180.7747589,2,3,10,2018,0,0,1,0,0,0,0,1,3443.558587,3324.839348,3497.5387920000003
2018-03-11,25.8,68.0,2,15.0,0.4,3130000,3981.454902,764.6643594,1019.552479,509.7762396,254.8881198,770.1752429,308.0700972,308.0700972,154.0350486,2,3,11,2018,0,0,1,0,0,0,0,1,4185.832056,3443.558587,3324.839348
2018-03-12,20.9,61.6,4,18.3,0.0,3130000,3750.086833,724.3437577,965.791677,482.8958385,241.4479192,820.7214879,328.2885952,328.2885952,164.1442976,2,3,12,2018,0,0,0,0,1,0,0,1,3981.4549020000004,4185.832056,3443.558587
2018-04-01,20.1,66.6,4,18.4,0.0,3130000,3150.768605,610.9387482,814.5849976,407.2924988,203.6462494,731.768753,292.7075012,292.7075012,146.3537506,2,4,1,2018,0,0,0,0,1,0,0,1,3750.0868339999997,3981.4549020000004,4185.832056
2018-04-02,22.4,53.9,4,21.1,0.0,3130000,3209.537723,668.6115567,891.4820755,445.7410378,222.8705189,663.8066826,265.522673,265.522673,132.7613365,2,4,2,2018,0,0,0,0,1,0,0,1,3150.768605,3750.0868339999997,3981.4549020000004
2018-04-03,25.9,63.3,3,19.9,0.0,3130000,4221.179341,668.8739428,891.8319238,445.9159619,222.9579809,635.2100953,254.0840381,254.0840381,127.0420191,2,4,3,2018,0,0,0,1,0,0,0,1,3209.537723,3150.768605,3750.0868339999997
2018-04-04,28.3,53.2,3,24.8,0.0,3130000,4605.742284,687.9512344,917.2683125,458.6341563,229.3170781,758.0670075,303.226803,303.226803,151.6134015,2,4,4,2018,0,0,0,1,0,0,0,1,4221.179341999999,3209.537723,3150.768605
2018-04-05,29.1,48.1,3,27.7,0.0,3130000,4532.165848,673.4691207,897.9588276,448.9794138,224.4897069,747.24932,298.899728,298.899728,149.449864,2,4,5,2018,0,0,0,1,0,0,0,1,4605.742284,4221.179341999999,3209.537723
2018-04-06,27.1,74.8,1,17.7,4.4,3130000,3354.978148,754.657023,1006.209364,503.104682,251.552341,691.3415223,276.5366089,276.5366089,138.2683045,2,4,6,2018,0,1,0,0,0,0,0,1,4532.165848000001,4605.742284,4221.179341999999
2018-04-07,23.7,89.2,1,10.1,6.0,3130000,3613.709556,782.8334187,1043.777892,521.8889458,260.9444729,789.6460091,315.8584036,315.8584036,157.9292018,2,4,7,2018,0,1,0,0,0,0,0,1,3354.978148,4532.165848000001,4605.742284
2018-04-08,23.4,88.7,1,10.9,4.0,3130000,3355.460879,682.2271539,909.6362052,454.8181026,227.4090513,802.8330294,321.1332118,321.1332118,160.5666059,2,4,8,2018,0,1,0,0,0,0,0,1,3613.709556,3354.978148,4532.165848000001
2018-04-09,22.9,86.3,1,16.3,1.6,3130000,3486.753627,706.2273919,941.6365226,470.8182613,235.4091306,833.7535534,333.5014214,333.5014214,166.7507107,2,4,9,2018,0,1,0,0,0,0,0,1,3355.460879,3613.709556,3354.978148
2018-04-10,25.4,79.2,2,17.4,2.0,3130000,4044.546504,799.8366906,1066.448921,533.2244604,266.6122302,748.9111104,299.5644441,299.5644441,149.7822221,2,4,10,2018,0,0,1,0,0,0,0,1,3486.753627,3355.460879,3613.709556
2018-04-11,25.9,73.5,2,16.3,4.0,3130000,3847.752804,731.5650259,975.4200345,487.7100173,243.8550086,756.5233148,302.6093259,302.6093259,151.304663,2,4,11,2018,0,0,1,0,0,0,0,1,4044.546504,3486.753627,3355.460879
2018-04-12,21.7,63.4,4,16.6,0.0,3130000,3715.720655,759.6488307,1012.865108,506.4325538,253.2162769,743.1361871,297.2544748,297.2544748,148.6272374,2,4,12,2018,0,0,0,0,1,0,0,1,3847.752804,4044.546504,3486.753627
2018-05-01,20.0,66.7,4,17.5,0.0,3130000,3380.872107,709.8959689,946.5279585,473.2639792,236.6319896,694.4914667,277.7965867,277.7965867,138.8982933,2,5,1,2018,0,0,0,0,1,0,0,1,3715.720655,3847.752804,4044.546504
2018-05-02,22.3,55.0,4,21.1,0.0,3130000,3158.96706,619.6878923,826.2505231,413.1252615,206.5626308,717.1868462,286.8747385,286.8747385,143.4373692,2,5,2,2018,0,0,0,0,1,0,0,1,3380.872107,3715.720655,3847.752804
2018-05-03,25.8,58.3,3,20.4,0.0,3130000,4541.631106,706.026592,941.3687893,470.6843947,235.3421973,705.988292,282.3953168,282.3953168,141.1976584,2,5,3,2018,0,0,0,1,0,0,0,1,3158.96706,3380.872107,3715.720655
2018-05-04,28.5,51.3,3,24.5,0.0,3130000,4721.091413,704.0879084,938.7838779,469.3919389,234.6959695,778.7162852,311.4865141,311.4865141,155.743257,2,5,4,2018,0,0,0,1,0,0,0,1,4541.631106,3158.96706,3380.872107
2018-05-05,29.3,55.0,3,26.9,0.0,3130000,4626.841113,720.3591042,960.4788056,480.2394028,240.1197014,708.0029465,283.2011786,283.2011786,141.6005893,2,5,5,2018,0,0,0,1,0,0,0,1,4721.091413,4541.631106,3158.96706
2018-05-06,27.5,73.3,1,16.7,1.6,3130000,3320.980011,657.0006578,876.000877,438.0004385,219.0002193,834.1956547,333.6782619,333.6782619,166.8391309,2,5,6,2018,0,1,0,0,0,0,0,1,4626.841113,4721.091413,4541.631106
2018-05-07,23.6,91.9,1,8.6,29.0,3130000,3530.52048,752.2732618,1003.031016,501.5155079,250.7577539,792.2024302,316.8809721,316.8809721,158.440486,2,5,7,2018,0,1,0,0,0,0,0,1,3320.980011,4626.841113,4721.091413
2018-05-08,23.8,84.1,1,16.7,0.2,3130000,3632.842246,815.0920168,1086.789356,543.3946779,271.6973389,741.5850264,296.6340105,296.6340105,148.3170053,2,5,8,2018,0,1,0,0,0,0,0,1,3530.5204790000003,3320.980011,4626.841113
2018-05-09,23.2,82.8,1,17.6,0.6,3130000,3405.069487,731.2957293,975.0609724,487.5304862,243.7652431,744.7094499,297.8837799,297.8837799,148.94189,2,5,9,2018,0,1,0,0,0,0,0,1,3632.842246,3530.5204790000003,3320.980011
2018-05-10,25.2,76.5,2,15.8,0.9,3130000,3903.125647,728.1874751,970.9166334,485.4583167,242.7291584,795.3688034,318.1475213,318.1475213,159.0737607,2,5,10,2018,0,0,1,0,0,0,0,1,3405.069486,3632.842246,3530.5204790000003
2018-05-11,25.4,77.9,2,14.5,6.3,3130000,4056.809733,772.4945633,1029.992751,514.9963755,257.4981878,795.4916287,318.1966515,318.1966515,159.0983257,2,5,11,2018,0,0,1,0,0,0,0,1,3903.125647,3405.069486,3632.842246
2018-05-12,23.1,65.1,4,15.8,0.0,3130000,3808.889638,798.9375851,1065.250113,532.6250567,266.3125284,727.8715608,291.1486243,291.1486243,145.5743122,2,5,12,2018,0,0,0,0,1,0,0,1,4056.809733,3903.125647,3405.069486
2018-06-01,19.8,62.6,4,18.3,0.0,3130000,3151.281009,638.0250215,850.7000287,425.3500143,212.6750072,686.6249642,274.6499857,274.6499857,137.3249928,2,6,1,2018,0,0,0,0,1,0,0,1,3808.889638,4056.809733,3903.125647
2018-06-02,21.4,52.0,4,18.6,0.0,3130000,3230.77051,659.3261756,879.1015674,439.5507837,219.7753919,690.7554677,276.3021871,276.3021871,138.1510935,2,6,2,2018,0,0,0,0,1,0,0,1,3151.281008,3808.889638,4056.809733
2018-06-03,26.0,49.6,3,20.6,0.0,3130000,4490.95557,693.2779841,924.3706455,462.1853227,231.0926614,706.078172,282.4312688,282.4312688,141.2156344,2,6,3,2018,0,0,0,1,0,0,0,1,3230.7705100000003,3151.281008,3808.889638
2018-06-04,27.3,51.2,3,18.3,0.1,3130000,4650.87663,721.2856961,961.7142615,480.8571308,240.4285654,720.8639047,288.3455619,288.3455619,144.1727809,2,6,4,2018,0,0,0,1,0,0,0,1,4490.95557,3230.7705100000003,3151.281008
2018-06-05,29.6,59.3,3,24.8,0.2,3130000,4298.034428,674.5599314,899.4132419,449.706621,224.8533105,648.5572966,259.4229186,259.4229186,129.7114593,2,6,5,2018,0,0,0,1,0,0,0,1,4650.876631,4490.95557,3230.7705100000003
2018-06-06,27.0,78.6,1,15.4,19.0,3130000,3285.15911,646.0566404,861.4088538,430.7044269,215.3522135,831.473625,332.58945,332.58945,166.294725,2,6,6,2018,0,1,0,0,0,0,0,1,4298.0344270000005,4650.876631,4490.95557
2018-06-07,24.5,87.2,1,11.6,0.2,3130000,3472.480627,713.6287247,951.5049662,475.7524831,237.8762416,822.8137667,329.1255067,329.1255067,164.5627533,2,6,7,2018,0,1,0,0,0,0,0,1,3285.159111,4298.0344270000005,4650.876631
2018-06-08,23.4,85.8,1,15.6,0.3,3130000,3423.653706,734.32283,979.0971067,489.5485533,244.7742767,755.114546,302.0458184,302.0458184,151.0229092,2,6,8,2018,0,1,0,0,0,0,0,1,3472.480627,3285.159111,4298.0344270000005
2018-06-09,23.5,80.8,1,17.1,1.8,3130000,3471.606895,685.6671442,914.2228589,457.1114294,228.5557147,858.9663312,343.5865325,343.5865325,171.7932662,2,6,9,2018,0,1,0,0,0,0,0,1,3423.653705,3472.480627,3285.159111
2018-06-10,25.7,70.1,2,20.6,0.0,3130000,4055.348875,737.4264821,983.2353094,491.6176547,245.8088274,858.1566913,343.2626765,343.2626765,171.6313383,2,6,10,2018,0,0,1,0,0,0,0,1,3471.606895,3423.653705,3472.480627
2018-06-11,25.6,74.9,2,16.5,0.2,3130000,4135.205003,814.5862125,1086.11495,543.057475,271.5287375,765.4227373,306.1690949,306.1690949,153.0845475,2,6,11,2018,0,0,1,0,0,0,0,1,4055.348876,3471.606895,3423.653705
2018-06-12,23.6,63.5,4,17.7,0.0,3130000,3748.110413,741.1616121,988.2154828,494.1077414,247.0538707,791.1416333,316.4566533,316.4566533,158.2283267,2,6,12,2018,0,0,0,0,1,0,0,1,4135.2050039999995,4055.348876,3471.606895
2018-07-01,19.0,63.2,4,18.9,0.0,3130000,3151.53721,653.019186,870.692248,435.346124,217.673062,661.63469,264.653876,264.653876,132.326938,2,7,1,2018,0,0,0,0,1,0,0,1,3748.1104130000003,4135.2050039999995,4055.348876
2018-07-02,21.6,58.1,4,11.7,0.0,3130000,3269.84719,645.648373,860.8644973,430.4322486,215.2161243,735.0508158,294.0203263,294.0203263,147.0101632,2,7,2,2018,0,0,0,0,1,0,0,1,3151.53721,3748.1104130000003,4135.2050039999995
2018-07-03,26.4,52.9,3,19.8,0.0,3130000,4246.309831,648.2759016,864.3678687,432.1839344,216.0919672,679.531378,271.8125512,271.8125512,135.9062756,2,7,3,2018,0,0,0,1,0,0,0,1,3269.847189,3151.53721,3748.1104130000003
2018-07-04,28.1,50.9,3,24.0,2.6,3130000,4683.778248,681.4010041,908.5346721,454.2673361,227.133668,800.7859935,320.3143974,320.3143974,160.1571987,2,7,4,2018,0,0,0,1,0,0,0,1,4246.309831,3269.847189,3151.53721
2018-07-05,29.1,57.0,3,25.3,0.0,3130000,4402.658202,666.395558,888.5274107,444.2637054,222.1318527,705.1728823,282.0691529,282.0691529,141.0345765,2,7,5,2018,0,0,0,1,0,0,0,1,4683.778247,4246.309831,3269.847189
2018-07-06,26.1,85.0,1,11.8,6.8,3130000,3305.014441,714.4145067,952.5526756,476.2763378,238.1381689,728.9229453,291.5691781,291.5691781,145.7845891,2,7,6,2018,0,1,0,0,0,0,0,1,4402.658202,4683.778247,4246.309831
2018-07-07,23.7,91.7,1,4.2,3.0,3130000,3472.42658,738.7517307,985.0023076,492.5011538,246.2505769,780.7495664,312.2998265,312.2998265,156.1499133,2,7,7,2018,0,1,0,0,0,0,0,1,3305.014441,4402.658202,4683.778247
2018-07-08,23.3,86.3,1,13.2,0.1,3130000,3511.460346,688.7827255,918.3769673,459.1884836,229.5942418,881.6076739,352.6430696,352.6430696,176.3215348,2,7,8,2018,0,1,0,0,0,0,0,1,3472.42658,3305.014441,4402.658202
2018-07-09,22.7,84.6,1,15.9,0.4,3130000,3470.894775,770.9723814,1027.963175,513.9815876,256.9907938,716.2207784,286.4883114,286.4883114,143.2441557,2,7,9,2018,0,1,0,0,0,0,0,1,3511.460346,3472.42658,3305.014441
2018-07-10,26.2,64.3,2,21.2,0.0,3130000,3830.124734,741.817973,989.0906307,494.5453153,247.2726577,734.7627444,293.9050978,293.9050978,146.9525489,2,7,10,2018,0,0,1,0,0,0,0,1,3470.894774,3511.460346,3472.42658
2018-07-11,25.0,66.1,2,19.2,0.0,3130000,3981.72148,775.6375738,1034.183432,517.0917159,258.5458579,751.3745788,300.5498315,300.5498315,150.2749158,2,7,11,2018,0,0,1,0,0,0,0,1,3830.1247329999997,3470.894774,3511.460346
2018-07-12,23.3,65.0,4,17.8,0.0,3130000,4019.685929,759.1076961,1012.143595,506.0717974,253.0358987,907.8864389,363.1545756,363.1545756,181.5772878,2,7,12,2018,0,0,0,0,1,0,0,1,3981.72148,3830.1247329999997,3470.894774
2018-08-01,19.0,63.3,4,18.9,0.0,3130000,3238.958963,630.7422994,840.9897326,420.4948663,210.2474331,747.160586,298.8642344,298.8642344,149.4321172,2,8,1,2018,0,0,0,0,1,0,0,1,4019.6859299999996,3981.72148,3830.1247329999997
2018-08-02,21.2,56.4,4,21.5,0.0,3130000,3334.39445,695.629169,927.5055587,463.7527793,231.8763897,687.3517364,274.9406946,274.9406946,137.4703473,2,8,2,2018,0,0,0,0,1,0,0,1,3238.958963,4019.6859299999996,3981.72148
2018-08-03,25.9,56.4,3,22.0,0.0,3130000,4410.695727,625.6618527,834.2158036,417.1079018,208.5539509,785.2074844,314.0829938,314.0829938,157.0414969,2,8,3,2018,0,0,0,1,0,0,0,1,3334.39445,3238.958963,4019.6859299999996
2018-08-04,27.2,49.4,3,24.6,1.3,3130000,4461.118512,639.7754618,853.0339491,426.5169745,213.2584873,777.9569486,311.1827794,311.1827794,155.5913897,2,8,4,2018,0,0,0,1,0,0,0,1,4410.695727,3334.39445,3238.958963
2018-08-05,29.1,49.6,3,27.0,0.0,3130000,4247.591458,643.2652963,857.6870618,428.8435309,214.4217654,679.6265677,271.8506271,271.8506271,135.9253135,2,8,5,2018,0,0,0,1,0,0,0,1,4461.118512,4410.695727,3334.39445
2018-08-06,26.1,83.8,1,13.1,3.0,3130000,3335.015215,676.7732988,902.3643984,451.1821992,225.5910996,808.9277509,323.5711004,323.5711004,161.7855502,2,8,6,2018,0,1,0,0,0,0,0,1,4247.591458,4461.118512,4410.695727
2018-08-07,23.2,90.7,1,6.4,5.0,3130000,3412.622877,669.6170658,892.8227543,446.4113772,223.2056886,861.1639866,344.4655947,344.4655947,172.2327973,2,8,7,2018,0,1,0,0,0,0,0,1,3335.0152150000004,4247.591458,4461.118512
2018-08-08,23.4,88.2,1,6.4,0.4,3130000,3459.140224,698.4988192,931.3317589,465.6658794,232.8329397,835.0140592,334.0056237,334.0056237,167.0028118,2,8,8,2018,0,1,0,0,0,0,0,1,3412.622877,3335.0152150000004,4247.591458
2018-08-09,22.9,80.5,1,17.5,0.7,3130000,3748.267831,741.7928359,989.0571145,494.5285572,247.2642786,924.6029488,369.8411795,369.8411795,184.9205898,2,8,9,2018,0,1,0,0,0,0,0,1,3459.140224,3412.622877,3335.0152150000004
2018-08-10,26.0,66.8,2,18.9,0.1,3130000,4157.467457,751.0369448,1001.382593,500.6912966,250.3456483,887.6905042,355.0762017,355.0762017,177.5381008,2,8,10,2018,0,0,1,0,0,0,0,1,3748.267831,3459.140224,3412.622877
2018-08-11,24.5,63.6,2,19.9,0.0,3130000,3956.857536,710.8674266,947.8232354,473.9116177,236.9558089,846.3992339,338.5596935,338.5596935,169.2798468,2,8,11,2018,0,0,1,0,0,0,0,1,4157.467456,3748.267831,3459.140224
2018-08-12,23.1,68.1,4,15.0,0.0,3130000,3477.559604,631.7433288,842.3244383,421.1622192,210.5811096,826.9349138,330.7739655,330.7739655,165.3869828,2,8,12,2018,0,0,0,0,1,0,0,1,3956.857537,4157.467456,3748.267831
2018-09-01,19.2,64.8,4,18.9,0.0,3130000,3152.049614,670.0430732,893.3907643,446.6953821,223.3476911,633.2615447,253.3046179,253.3046179,126.6523089,2,9,1,2018,0,0,0,0,1,0,0,1,3477.559605,3956.857537,4157.467456
2018-09-02,20.7,57.1,4,21.5,0.0,3130000,3159.991867,646.5080324,862.0107098,431.0053549,215.5026775,672.4866127,268.9946451,268.9946451,134.4973225,2,9,2,2018,0,0,0,0,1,0,0,1,3152.049613,3477.559605,3956.857537
2018-09-03,26.2,52.2,3,21.7,0.0,3130000,4276.64691,601.8111625,802.4148834,401.2074417,200.6037208,769.2598081,307.7039232,307.7039232,153.8519616,2,9,3,2018,0,0,0,1,0,0,0,1,3159.9918669999997,3152.049613,3477.559605
2018-09-04,27.3,41.3,3,23.7,0.0,3130000,4663.232533,694.3050753,925.7401004,462.8700502,231.4350251,770.4736814,308.1894726,308.1894726,154.0947363,2,9,4,2018,0,0,0,1,0,0,0,1,4276.6469099999995,3159.9918669999997,3152.049613
2018-09-05,30.0,52.5,3,27.1,0.0,3130000,4552.627739,696.6778804,928.9038406,464.4519203,232.2259601,716.2534821,286.5013929,286.5013929,143.2506964,2,9,5,2018,0,0,0,1,0,0,0,1,4663.232533,4276.6469099999995,3159.9918669999997
2018-09-06,25.1,87.3,1,9.0,5.7,3130000,3401.67864,708.4622103,944.6162804,472.3081402,236.1540701,794.6705132,317.8682053,317.8682053,158.9341026,2,9,6,2018,0,1,0,0,0,0,0,1,4552.627739,4663.232533,4276.6469099999995
2018-09-07,23.3,92.0,1,4.1,3.0,3130000,3443.82018,737.2071759,982.9429012,491.4714506,245.7357253,766.4289519,306.5715807,306.5715807,153.2857904,2,9,7,2018,0,1,0,0,0,0,0,1,3401.67864,4552.627739,4663.232533
2018-09-08,23.6,87.8,1,8.9,0.3,3130000,3404.397587,742.8965577,990.5287436,495.2643718,247.6321859,729.2226025,291.689041,291.689041,145.8445205,2,9,8,2018,0,1,0,0,0,0,0,1,3443.820181,3401.67864,4552.627739
2018-09-09,23.2,79.2,1,17.9,0.2,3130000,3478.3379,717.3348409,956.4464545,478.2232273,239.1116136,809.5883802,323.8353521,323.8353521,161.917676,2,9,9,2018,0,1,0,0,0,0,0,1,3404.3975870000004,3443.820181,3401.67864
2018-09-10,26.1,75.6,2,18.7,0.0,3130000,3861.800543,726.4399327,968.5865769,484.2932885,242.1466442,776.378306,310.5513224,310.5513224,155.2756612,2,9,10,2018,0,0,1,0,0,0,0,1,3478.3379,3404.3975870000004,3443.820181
2018-09-11,24.8,64.4,2,20.0,0.0,3130000,3923.193047,740.5542026,987.4056034,493.7028017,246.8514009,779.4804979,311.7921992,311.7921992,155.8960996,2,9,11,2018,0,0,1,0,0,0,0,1,3861.8005430000003,3478.3379,3404.3975870000004
2018-09-12,22.7,64.9,4,17.3,0.0,3130000,3827.088618,708.9501297,945.2668397,472.6334198,236.3167099,887.0356973,354.8142789,354.8142789,177.4071395,2,9,12,2018,0,0,0,0,1,0,0,1,3923.193047,3861.8005430000003,3478.3379
2018-10-01,20.0,65.3,4,18.4,0.0,3130000,3297.123773,664.0609421,885.4145895,442.7072947,221.3536474,723.6273343,289.4509337,289.4509337,144.7254669,2,10,1,2018,0,0,0,0,1,0,0,1,3827.0886179999998,3923.193047,3861.8005430000003
